Reporting_Country,Flow,Commodity,Commodity_Type,Year,Value_Original,Value
Nepal,Imports,M,Manufactures,2006,"1,435,261,229",1435
Netherlands,Imports,M,Manufactures,2006,"273,870,663,293",273871
Netherlands Antilles,Imports,M,Manufactures,2006,"747,728,975",748
New Caledonia,Imports,M,Manufactures,2006,"1,531,568,259",1532
New Zealand,Imports,M,Manufactures,2006,"19,282,187,246",19282
Nicaragua,Imports,M,Manufactures,2006,"1,811,823,000",1812
Niger,Imports,M,Manufactures,2006,"447,908,163",448
Nigeria,Imports,M,Manufactures,2006,"16,461,674,911",16462
Norway,Imports,M,Manufactures,2006,"50,246,400,509",50246
Oman,Imports,M,Manufactures,2006,"8,540,851,615",8541
Pakistan,Imports,M,Manufactures,2006,"16,593,371,047",16593
Panama,Imports,M,Manufactures,2006,"9,240,979,770",9241
Paraguay,Imports,M,Manufactures,2006,"3,608,194,054",3608
Peru,Imports,M,Manufactures,2006,"10,393,508,116",10394
Philippines,Imports,M,Manufactures,2006,"40,180,106,158",40180
Poland,Imports,M,Manufactures,2006,"95,880,665,259",95881
Portugal,Imports,M,Manufactures,2006,"48,469,880,805",48470
Qatar,Imports,M,Manufactures,2006,"13,653,299,161",13653
Romania,Imports,M,Manufactures,2006,"39,178,170,824",39178
Russian Federation,Imports,M,Manufactures,2006,"102,327,572,178",102328
Rwanda,Imports,M,Manufactures,2006,"341,263,911",341
Saint Kitts and Nevis,Imports,M,Manufactures,2006,"175,512,503",176
Saint Lucia,Imports,M,Manufactures,2006,"380,333,153",380
Saint Vincent and the Grenadines,Imports,M,Manufactures,2006,"169,045,065",169
Samoa,Imports,M,Manufactures,2006,"113,345,117",113
Sao Tome and Principe,Imports,M,Manufactures,2006,"33,380,261",33
Saudi Arabia,Imports,M,Manufactures,2006,"55,571,496,119",55571
Senegal,Imports,M,Manufactures,2006,"1,763,775,678",1764
Serbia,Imports,M,Manufactures,2006,"8,571,277,833",8571
Seychelles,Imports,M,Manufactures,2006,"306,610,542",307
Singapore,Imports,M,Manufactures,2006,"174,911,885,440",174912
Slovak Republic,Imports,M,Manufactures,2006,"34,378,584,275",34379
Slovenia,Imports,M,Manufactures,2006,"17,607,637,830",17608
Solomon Islands,Imports,M,Manufactures,2006,"131,190,000",131
South Africa,Imports,M,Manufactures,2006,"44,796,839,097",44797
Spain,Imports,M,Manufactures,2006,"229,191,328,021",229191
Sri Lanka,Imports,M,Manufactures,2006,"6,461,797,615",6462
Sudan,Imports,M,Manufactures,2006,"6,444,691,966",6445
Suriname,Imports,M,Manufactures,2006,"390,995,800",391
Swaziland,Imports,M,Manufactures,2006,"813,890,281",814
Sweden,Imports,M,Manufactures,2006,"94,312,974,186",94313
Switzerland,Imports,M,Manufactures,2006,"110,985,144,058",110985
Syrian Arab Republic,Imports,M,Manufactures,2006,"5,981,856,389",5982
Tanzania,Imports,M,Manufactures,2006,"2,520,959,775",2521
Thailand,Imports,M,Manufactures,2006,"85,940,252,351",85940
Togo,Imports,M,Manufactures,2006,"281,716,298",282
Tonga,Imports,M,Manufactures,2006,"21,266,639",21
Trinidad and Tobago,Imports,M,Manufactures,2006,"3,343,715,217",3344
Tunisia,Imports,M,Manufactures,2006,"10,545,458,700",10545
Turkey,Imports,M,Manufactures,2006,"88,878,919,825",88879
Tuvalu,Imports,M,Manufactures,2006,"2,693,080",3
Uganda,Imports,M,Manufactures,2006,"1,598,813,736",1599
Ukraine,Imports,M,Manufactures,2006,"26,822,746,167",26823
United Arab Emirates,Imports,M,Manufactures,2006,"60,312,698,130",60313
United Kingdom,Imports,M,Manufactures,2006,"404,508,065,142",404508
United States,Imports,M,Manufactures,2006,"1,350,213,000,000",1350213
Uruguay,Imports,M,Manufactures,2006,"2,852,534,240",2853
Vanuatu,Imports,M,Manufactures,2006,"100,279,901",100
Venezuela,Imports,M,Manufactures,2006,"26,574,000,000",26574
Viet Nam,Imports,M,Manufactures,2006,"29,843,106,813",29843
World,Imports,M,Manufactures,2006,"8,599,431,000,000",8599431
Yemen,Imports,M,Manufactures,2006,"3,173,462,757",3173
Zambia,Imports,M,Manufactures,2006,"2,275,319,854",2275
Zimbabwe,Imports,M,Manufactures,2006,"1,000,626,335",1001
"Hong Kong, China",Re-exports,A,Agricultural products,2006,"4,112,600,935",4113
Singapore,Re-exports,A,Agricultural products,2006,"2,861,138,578",2861
"Hong Kong, China",Re-exports,F,Fuels and mining products,2006,"6,161,575,216",6162
Singapore,Re-exports,F,Fuels and mining products,2006,"7,272,000,655",7272
"Hong Kong, China",Re-exports,M,Manufactures,2006,"288,987,790,249",288988
Singapore,Re-exports,M,Manufactures,2006,"115,610,442,247",115610
Albania,Exports,A,Agricultural products,2007,"93,638,150",94
Algeria,Exports,A,Agricultural products,2007,"101,425,645",101
Angola,Exports,A,Agricultural products,2007,"51,676,967",52
Antigua and Barbuda,Exports,A,Agricultural products,2007,"2,604,031",3
Argentina,Exports,A,Agricultural products,2007,"28,805,922,704",28806
Armenia,Exports,A,Agricultural products,2007,"194,096,263",194
Aruba,Exports,A,Agricultural products,2007,"20,791,793",21
Australia,Exports,A,Agricultural products,2007,"22,398,855,447",22399
Austria,Exports,A,Agricultural products,2007,"14,442,326,785",14442
Azerbaijan,Exports,A,Agricultural products,2007,"542,873,730",543
Bahamas,Exports,A,Agricultural products,2007,"113,239,282",113
Bahrain,Exports,A,Agricultural products,2007,"68,132,747",68
Bangladesh,Exports,A,Agricultural products,2007,"1,267,381,357",1267
Barbados,Exports,A,Agricultural products,2007,"92,434,682",92
Belarus,Exports,A,Agricultural products,2007,"2,231,093,000",2231
Belgium,Exports,A,Agricultural products,2007,"40,744,826,011",40745
Belize,Exports,A,Agricultural products,2007,"170,422,219",170
Benin,Exports,A,Agricultural products,2007,"235,761,650",236
Bhutan,Exports,A,Agricultural products,2007,"69,412,360",69
Bolivia,Exports,A,Agricultural products,2007,"790,930,366",791
Bosnia and Herzegovina,Exports,A,Agricultural products,2007,"564,420,754",564
Botswana,Exports,A,Agricultural products,2007,"151,917,748",152
Brazil,Exports,A,Agricultural products,2007,"48,287,000,000",48287
Bulgaria,Exports,A,Agricultural products,2007,"1,925,329,217",1925
Burkina Faso,Exports,A,Agricultural products,2007,"409,089,071",409
Burundi,Exports,A,Agricultural products,2007,"35,000,000",35
Cabo Verde,Exports,A,Agricultural products,2007,"6,822,673",7
Cambodia,Exports,A,Agricultural products,2007,"80,988,963",81
Cameroon,Exports,A,Agricultural products,2007,"1,092,048,810",1092
Canada,Exports,A,Agricultural products,2007,"48,727,834,060",48728
Central African Republic,Exports,A,Agricultural products,2007,"67,460,554",67
Chile,Exports,A,Agricultural products,2007,"14,435,510,639",14436
China,Exports,A,Agricultural products,2007,"38,862,333,693",38862
Chinese Taipei,Exports,A,Agricultural products,2007,"4,556,964,333",4557
Colombia,Exports,A,Agricultural products,2007,"5,858,145,748",5858
Comoros,Exports,A,Agricultural products,2007,"1,176,282",1
Congo,Exports,A,Agricultural products,2007,"205,138,688",205
Costa Rica,Exports,A,Agricultural products,2007,"2,877,843,389",2878
Côte d'Ivoire,Exports,A,Agricultural products,2007,"3,897,876,573",3898
Croatia,Exports,A,Agricultural products,2007,"1,732,320,870",1732
Cyprus,Exports,A,Agricultural products,2007,"294,928,889",295
Czech Republic,Exports,A,Agricultural products,2007,"6,250,011,724",6250
Denmark,Exports,A,Agricultural products,2007,"20,788,709,774",20789
Dominica,Exports,A,Agricultural products,2007,"12,752,448",13
Dominican Republic,Exports,A,Agricultural products,2007,"1,026,881,279",1027
Ecuador,Exports,A,Agricultural products,2007,"4,244,585,381",4245
Egypt,Exports,A,Agricultural products,2007,"1,533,833,248",1534
El Salvador,Exports,A,Agricultural products,2007,"791,805,083",792
Estonia,Exports,A,Agricultural products,2007,"1,732,448,872",1732
Ethiopia,Exports,A,Agricultural products,2007,"1,033,896,032",1034
Faeroe Islands,Exports,A,Agricultural products,2007,"703,644,284",704
Fiji,Exports,A,Agricultural products,2007,"386,519,402",387
Finland,Exports,A,Agricultural products,2007,"6,408,882,562",6409
France,Exports,A,Agricultural products,2007,"66,191,745,315",66192
French Polynesia,Exports,A,Agricultural products,2007,"25,072,957",25
FYR Macedonia,Exports,A,Agricultural products,2007,"482,900,421",483
Gabon,Exports,A,Agricultural products,2007,"567,532,027",568
Gambia,Exports,A,Agricultural products,2007,"10,989,530",11
Georgia,Exports,A,Agricultural products,2007,"323,900,671",324
Germany,Exports,A,Agricultural products,2007,"74,151,115,114",74151
Ghana,Exports,A,Agricultural products,2007,"1,502,875,951",1503
Greece,Exports,A,Agricultural products,2007,"5,105,389,492",5105
Greenland,Exports,A,Agricultural products,2007,"318,116,040",318
Grenada,Exports,A,Agricultural products,2007,"14,424,765",14
Guatemala,Exports,A,Agricultural products,2007,"2,843,473,820",2843
Guinea,Exports,A,Agricultural products,2007,"48,904,586",49
Guyana,Exports,A,Agricultural products,2007,"382,987,669",383
Haiti,Exports,A,Agricultural products,2007,"30,120,000",30
Honduras,Exports,A,Agricultural products,2007,"1,300,299,951",1300
"Hong Kong, China",Exports,A,Agricultural products,2007,"5,480,950,962",5481
Hungary,Exports,A,Agricultural products,2007,"6,920,606,664",6921
Iceland,Exports,A,Agricultural products,2007,"2,083,488,906",2083
India,Exports,A,Agricultural products,2007,"16,300,759,639",16301
Indonesia,Exports,A,Agricultural products,2007,"23,804,871,633",23805
Iran,Exports,A,Agricultural products,2007,"3,971,138,673",3971
Iraq,Exports,A,Agricultural products,2007,"46,509,202",47
Ireland,Exports,A,Agricultural products,2007,"12,607,064,386",12607
Israel,Exports,A,Agricultural products,2007,"2,253,200,000",2253
Italy,Exports,A,Agricultural products,2007,"35,370,692,284",35371
Jamaica,Exports,A,Agricultural products,2007,"342,321,021",342
Japan,Exports,A,Agricultural products,2007,"7,564,866,000",7565
Jordan,Exports,A,Agricultural products,2007,"762,687,206",763
Kazakhstan,Exports,A,Agricultural products,2007,"2,309,121,817",2309
Kenya,Exports,A,Agricultural products,2007,"2,230,993,590",2231
Kiribati,Exports,A,Agricultural products,2007,"8,038,242",8
Korea,Exports,A,Agricultural products,2007,"6,323,455,716",6323
Kuwait,Exports,A,Agricultural products,2007,"179,628,955",180
Kyrgyz Republic,Exports,A,Agricultural products,2007,"201,551,447",202
Latvia,Exports,A,Agricultural products,2007,"2,469,402,332",2469
Lebanese Republic,Exports,A,Agricultural products,2007,"391,610,335",392
Lesotho,Exports,A,Agricultural products,2007,"46,518,697",47
Libya,Exports,A,Agricultural products,2007,"37,952,012",38
Lithuania,Exports,A,Agricultural products,2007,"3,405,130,916",3405
Luxembourg,Exports,A,Agricultural products,2007,"1,105,320,420",1105
"Macao, China",Exports,A,Agricultural products,2007,"47,657,700",48
Madagascar,Exports,A,Agricultural products,2007,"421,860,306",422
Malawi,Exports,A,Agricultural products,2007,"776,103,920",776
Malaysia,Exports,A,Agricultural products,2007,"20,548,548,429",20549
Maldives,Exports,A,Agricultural products,2007,"106,031,835",106
Mali,Exports,A,Agricultural products,2007,"299,822,312",300
Malta,Exports,A,Agricultural products,2007,"220,827,068",221
Mauritania,Exports,A,Agricultural products,2007,"175,106,536",175
Mauritius,Exports,A,Agricultural products,2007,"650,240,766",650
Mexico,Exports,A,Agricultural products,2007,"15,444,280,077",15444
Moldova,Exports,A,Agricultural products,2007,"518,166,889",518
Mongolia,Exports,A,Agricultural products,2007,"234,807,533",235
Montenegro,Exports,A,Agricultural products,2007,"80,400,362",80
Montserrat,Exports,A,Agricultural products,2007,"3,051",0
Morocco,Exports,A,Agricultural products,2007,"3,008,687,410",3009
Mozambique,Exports,A,Agricultural products,2007,"335,551,216",336
Namibia,Exports,A,Agricultural products,2007,"973,241,099",973
Nepal,Exports,A,Agricultural products,2007,"192,628,079",193
Netherlands,Exports,A,Agricultural products,2007,"86,015,801,893",86016
Netherlands Antilles,Exports,A,Agricultural products,2007,"33,939,361",34
New Caledonia,Exports,A,Agricultural products,2007,"26,122,183",26
New Zealand,Exports,A,Agricultural products,2007,"16,061,477,463",16061
Nicaragua,Exports,A,Agricultural products,2007,"975,911,082",976
Niger,Exports,A,Agricultural products,2007,"191,180,717",191
Nigeria,Exports,A,Agricultural products,2007,"1,287,234,757",1287
Norway,Exports,A,Agricultural products,2007,"7,507,965,394",7508
Oman,Exports,A,Agricultural products,2007,"542,058,846",542
Pakistan,Exports,A,Agricultural products,2007,"2,327,125,283",2327
Panama,Exports,A,Agricultural products,2007,"1,178,148,619",1178
Paraguay,Exports,A,Agricultural products,2007,"2,426,481,998",2426
Peru,Exports,A,Agricultural products,2007,"4,191,408,950",4191
Philippines,Exports,A,Agricultural products,2007,"3,236,762,252",3237
Poland,Exports,A,Agricultural products,2007,"14,951,802,076",14952
Portugal,Exports,A,Agricultural products,2007,"6,000,257,108",6000
Qatar,Exports,A,Agricultural products,2007,"25,490,818",25
Romania,Exports,A,Agricultural products,2007,"2,371,737,063",2372
Russian Federation,Exports,A,Agricultural products,2007,"23,507,734,272",23508
Rwanda,Exports,A,Agricultural products,2007,"69,311,889",69
Saint Kitts and Nevis,Exports,A,Agricultural products,2007,"3,388,671",3
Saint Lucia,Exports,A,Agricultural products,2007,"34,547,805",35
Saint Vincent and the Grenadines,Exports,A,Agricultural products,2007,"31,563,925",32
Samoa,Exports,A,Agricultural products,2007,"15,261,179",15
Sao Tome and Principe,Exports,A,Agricultural products,2007,"3,773,096",4
Saudi Arabia,Exports,A,Agricultural products,2007,"2,240,082,303",2240
Senegal,Exports,A,Agricultural products,2007,"613,992,984",614
Serbia,Exports,A,Agricultural products,2007,"1,822,475,865",1822
Seychelles,Exports,A,Agricultural products,2007,"197,799,160",198
Singapore,Exports,A,Agricultural products,2007,"5,980,993,290",5981
Slovak Republic,Exports,A,Agricultural products,2007,"2,902,426,291",2902
Slovenia,Exports,A,Agricultural products,2007,"1,749,513,725",1750
Solomon Islands,Exports,A,Agricultural products,2007,"156,387,486",156
South Africa,Exports,A,Agricultural products,2007,"5,573,691,586",5574
Spain,Exports,A,Agricultural products,2007,"37,313,006,877",37313
Sri Lanka,Exports,A,Agricultural products,2007,"2,014,502,894",2015
Suriname,Exports,A,Agricultural products,2007,"46,403,328",46
Swaziland,Exports,A,Agricultural products,2007,"314,932,912",315
Sweden,Exports,A,Agricultural products,2007,"13,333,869,256",13334
Switzerland,Exports,A,Agricultural products,2007,"5,935,998,378",5936
Syrian Arab Republic,Exports,A,Agricultural products,2007,"2,542,199,228",2542
Tanzania,Exports,A,Agricultural products,2007,"888,664,238",889
Thailand,Exports,A,Agricultural products,2007,"24,985,537,499",24986
Togo,Exports,A,Agricultural products,2007,"70,071,852",70
Tonga,Exports,A,Agricultural products,2007,"3,866,851",4
Trinidad and Tobago,Exports,A,Agricultural products,2007,"346,022,538",346
Tunisia,Exports,A,Agricultural products,2007,"1,516,383,923",1516
Turkey,Exports,A,Agricultural products,2007,"9,488,262,645",9488
Uganda,Exports,A,Agricultural products,2007,"824,834,937",825
Ukraine,Exports,A,Agricultural products,2007,"6,828,249,230",6828
United Arab Emirates,Exports,A,Agricultural products,2007,"3,060,669,866",3061
United Kingdom,Exports,A,Agricultural products,2007,"27,456,412,592",27456
United States,Exports,A,Agricultural products,2007,"113,697,068,000",113697
Uruguay,Exports,A,Agricultural products,2007,"2,872,107,831",2872
Vanuatu,Exports,A,Agricultural products,2007,"19,035,024",19
Venezuela,Exports,A,Agricultural products,2007,"198,107,745",198
Viet Nam,Exports,A,Agricultural products,2007,"11,330,783,664",11331
World,Exports,A,Agricultural products,2007,"1,135,287,775,629",1135288
Yemen,Exports,A,Agricultural products,2007,"342,144,014",342
Zambia,Exports,A,Agricultural products,2007,"408,931,748",409
Zimbabwe,Exports,A,Agricultural products,2007,"926,625,266",927
Albania,Exports,F,Fuels and mining products,2007,"224,407,645",224
Algeria,Exports,F,Fuels and mining products,2007,"59,493,756,961",59494
Angola,Exports,F,Fuels and mining products,2007,"42,393,875,855",42394
Antigua and Barbuda,Exports,F,Fuels and mining products,2007,"17,870,868",18
Argentina,Exports,F,Fuels and mining products,2007,"8,222,978,859",8223
Armenia,Exports,F,Fuels and mining products,2007,"289,649,916",290
Aruba,Exports,F,Fuels and mining products,2007,"5,114,084,143",5114
Australia,Exports,F,Fuels and mining products,2007,"71,957,140,874",71957
Austria,Exports,F,Fuels and mining products,2007,"8,969,440,954",8969
Azerbaijan,Exports,F,Fuels and mining products,2007,"20,301,702,099",20302
Bahamas,Exports,F,Fuels and mining products,2007,"211,517,526",212
Bahrain,Exports,F,Fuels and mining products,2007,"12,226,697,178",12227
Bangladesh,Exports,F,Fuels and mining products,2007,"269,151,083",269
Barbados,Exports,F,Fuels and mining products,2007,"286,522,924",287
Belarus,Exports,F,Fuels and mining products,2007,"8,671,740,900",8672
Belgium,Exports,F,Fuels and mining products,2007,"47,816,601,226",47817
Belize,Exports,F,Fuels and mining products,2007,"72,445,426",72
Benin,Exports,F,Fuels and mining products,2007,"11,590,437",12
Bhutan,Exports,F,Fuels and mining products,2007,"346,672,377",347
Bolivia,Exports,F,Fuels and mining products,2007,"3,382,656,970",3383
Bosnia and Herzegovina,Exports,F,Fuels and mining products,2007,"1,058,149,970",1058
Botswana,Exports,F,Fuels and mining products,2007,"1,190,357,271",1190
Brazil,Exports,F,Fuels and mining products,2007,"32,183,000,000",32183
Brunei Darussalam,Exports,F,Fuels and mining products,2007,"7,395,075,612",7395
Bulgaria,Exports,F,Fuels and mining products,2007,"6,025,342,079",6025
Burkina Faso,Exports,F,Fuels and mining products,2007,"976,141",1
Burundi,Exports,F,Fuels and mining products,2007,"9,130,762",9
Cambodia,Exports,F,Fuels and mining products,2007,"4,285,228",4
Cameroon,Exports,F,Fuels and mining products,2007,"2,742,861,523",2743
Canada,Exports,F,Fuels and mining products,2007,"123,686,498,654",123686
Central African Republic,Exports,F,Fuels and mining products,2007,"34,838,585",35
Chile,Exports,F,Fuels and mining products,2007,"45,377,443,962",45377
China,Exports,F,Fuels and mining products,2007,"42,815,001,502",42815
Chinese Taipei,Exports,F,Fuels and mining products,2007,"19,832,015,946",19832
Colombia,Exports,F,Fuels and mining products,2007,"11,574,199,287",11574
Congo,Exports,F,Fuels and mining products,2007,"4,818,934,018",4819
Costa Rica,Exports,F,Fuels and mining products,2007,"181,526,001",182
Côte d'Ivoire,Exports,F,Fuels and mining products,2007,"2,659,965,658",2660
Croatia,Exports,F,Fuels and mining products,2007,"2,165,742,845",2166
Cyprus,Exports,F,Fuels and mining products,2007,"337,665,824",338
Czech Republic,Exports,F,Fuels and mining products,2007,"5,661,408,508",5661
Denmark,Exports,F,Fuels and mining products,2007,"12,787,625,907",12788
Dominica,Exports,F,Fuels and mining products,2007,"3,807,475",4
Dominican Republic,Exports,F,Fuels and mining products,2007,"490,643,689",491
Ecuador,Exports,F,Fuels and mining products,2007,"8,392,824,921",8393
Egypt,Exports,F,Fuels and mining products,2007,"8,890,363,252",8890
El Salvador,Exports,F,Fuels and mining products,2007,"194,791,973",195
Estonia,Exports,F,Fuels and mining products,2007,"1,725,102,803",1725
Ethiopia,Exports,F,Fuels and mining products,2007,"37,519,398",38
Faeroe Islands,Exports,F,Fuels and mining products,2007,"14,386,321",14
Fiji,Exports,F,Fuels and mining products,2007,"184,633,530",185
Finland,Exports,F,Fuels and mining products,2007,"9,194,849,947",9195
France,Exports,F,Fuels and mining products,2007,"39,237,847,597",39238
French Polynesia,Exports,F,Fuels and mining products,2007,"430,518",0
FYR Macedonia,Exports,F,Fuels and mining products,2007,"319,651,269",320
Gabon,Exports,F,Fuels and mining products,2007,"5,483,628,668",5484
Gambia,Exports,F,Fuels and mining products,2007,"60,393",0
Georgia,Exports,F,Fuels and mining products,2007,"286,315,367",286
Germany,Exports,F,Fuels and mining products,2007,"76,457,573,721",76458
Ghana,Exports,F,Fuels and mining products,2007,"128,314,919",128
Greece,Exports,F,Fuels and mining products,2007,"5,383,058,896",5383
Greenland,Exports,F,Fuels and mining products,2007,"50,542,122",51
Grenada,Exports,F,Fuels and mining products,2007,"140,947",0
Guatemala,Exports,F,Fuels and mining products,2007,"624,570,855",625
Guinea,Exports,F,Fuels and mining products,2007,"786,888,670",787
Guyana,Exports,F,Fuels and mining products,2007,"100,947,023",101
Haiti,Exports,F,Fuels and mining products,2007,0,0
Honduras,Exports,F,Fuels and mining products,2007,"304,921,618",305
"Hong Kong, China",Exports,F,Fuels and mining products,2007,"7,512,415,680",7512
Hungary,Exports,F,Fuels and mining products,2007,"4,351,204,541",4351
Iceland,Exports,F,Fuels and mining products,2007,"1,360,203,463",1360
India,Exports,F,Fuels and mining products,2007,"34,928,088,904",34928
Indonesia,Exports,F,Fuels and mining products,2007,"41,364,196,080",41364
Iran,Exports,F,Fuels and mining products,2007,"76,440,614,106",76441
Iraq,Exports,F,Fuels and mining products,2007,"41,115,006,354",41115
Ireland,Exports,F,Fuels and mining products,2007,"2,736,397,757",2736
Israel,Exports,F,Fuels and mining products,2007,"1,024,000,000",1024
Italy,Exports,F,Fuels and mining products,2007,"30,401,037,600",30401
Jamaica,Exports,F,Fuels and mining products,2007,"1,714,288,987",1714
Japan,Exports,F,Fuels and mining products,2007,"26,581,258,000",26581
Jordan,Exports,F,Fuels and mining products,2007,"371,290,393",371
Kazakhstan,Exports,F,Fuels and mining products,2007,"38,724,861,421",38725
Kenya,Exports,F,Fuels and mining products,2007,"289,348,662",289
Kiribati,Exports,F,Fuels and mining products,2007,"67,110",0
Korea,Exports,F,Fuels and mining products,2007,"33,818,892,592",33819
Kuwait,Exports,F,Fuels and mining products,2007,"59,325,141,649",59325
Kyrgyz Republic,Exports,F,Fuels and mining products,2007,"325,889,904",326
Latvia,Exports,F,Fuels and mining products,2007,"584,333,082",584
Lebanese Republic,Exports,F,Fuels and mining products,2007,"400,458,488",400
Lesotho,Exports,F,Fuels and mining products,2007,"109,528",0
Libya,Exports,F,Fuels and mining products,2007,"45,418,606,366",45419
Lithuania,Exports,F,Fuels and mining products,2007,"2,653,914,967",2654
Luxembourg,Exports,F,Fuels and mining products,2007,"1,376,484,932",1376
"Macao, China",Exports,F,Fuels and mining products,2007,"211,316,273",211
Madagascar,Exports,F,Fuels and mining products,2007,"95,857,563",96
Malawi,Exports,F,Fuels and mining products,2007,"470,821",0
Malaysia,Exports,F,Fuels and mining products,2007,"28,117,934,051",28118
Maldives,Exports,F,Fuels and mining products,2007,"2,134,678",2
Mali,Exports,F,Fuels and mining products,2007,"9,584,623",10
Malta,Exports,F,Fuels and mining products,2007,"53,256,776",53
Mauritania,Exports,F,Fuels and mining products,2007,"1,067,844,048",1068
Mauritius,Exports,F,Fuels and mining products,2007,"19,140,570",19
Mexico,Exports,F,Fuels and mining products,2007,"50,019,341,424",50019
Moldova,Exports,F,Fuels and mining products,2007,"80,193,779",80
Mongolia,Exports,F,Fuels and mining products,2007,"1,324,614,301",1325
Montenegro,Exports,F,Fuels and mining products,2007,"382,848,477",383
Montserrat,Exports,F,Fuels and mining products,2007,"1,914,456",2
Morocco,Exports,F,Fuels and mining products,2007,"2,068,266,853",2068
Mozambique,Exports,F,Fuels and mining products,2007,"1,916,200,971",1916
Namibia,Exports,F,Fuels and mining products,2007,"1,411,141,193",1411
Nepal,Exports,F,Fuels and mining products,2007,0,0
Netherlands,Exports,F,Fuels and mining products,2007,"101,895,899,398",101896
Netherlands Antilles,Exports,F,Fuels and mining products,2007,"8,005,807",8
New Caledonia,Exports,F,Fuels and mining products,2007,"636,280,182",636
New Zealand,Exports,F,Fuels and mining products,2007,"2,536,259,260",2536
Nicaragua,Exports,F,Fuels and mining products,2007,"36,219,993",36
Niger,Exports,F,Fuels and mining products,2007,"315,102,011",315
Nigeria,Exports,F,Fuels and mining products,2007,"50,763,681,369",50764
Norway,Exports,F,Fuels and mining products,2007,"99,016,934,046",99017
Oman,Exports,F,Fuels and mining products,2007,"19,937,191,860",19937
Pakistan,Exports,F,Fuels and mining products,2007,"1,186,834,743",1187
Panama,Exports,F,Fuels and mining products,2007,"58,539,078",59
Paraguay,Exports,F,Fuels and mining products,2007,"1,905,289,000",1905
Peru,Exports,F,Fuels and mining products,2007,"16,327,382,084",16327
Philippines,Exports,F,Fuels and mining products,2007,"4,152,791,238",4153
Poland,Exports,F,Fuels and mining products,2007,"11,713,385,308",11713
Portugal,Exports,F,Fuels and mining products,2007,"4,347,079,869",4347
Qatar,Exports,F,Fuels and mining products,2007,"37,676,793,396",37677
Romania,Exports,F,Fuels and mining products,2007,"5,177,119,505",5177
Russian Federation,Exports,F,Fuels and mining products,2007,"253,432,671,832",253433
Rwanda,Exports,F,Fuels and mining products,2007,"84,132,047",84
Saint Kitts and Nevis,Exports,F,Fuels and mining products,2007,"39,617",0
Saint Lucia,Exports,F,Fuels and mining products,2007,"21,662,996",22
Saint Vincent and the Grenadines,Exports,F,Fuels and mining products,2007,"158,839",0
Samoa,Exports,F,Fuels and mining products,2007,"468,182",0
Sao Tome and Principe,Exports,F,Fuels and mining products,2007,"2,244,660",2
Saudi Arabia,Exports,F,Fuels and mining products,2007,"206,249,849,096",206250
Senegal,Exports,F,Fuels and mining products,2007,"361,295,947",361
Serbia,Exports,F,Fuels and mining products,2007,"1,139,764,497",1140
Seychelles,Exports,F,Fuels and mining products,2007,"155,479,164",155
Singapore,Exports,F,Fuels and mining products,2007,"46,383,233,753",46383
Slovak Republic,Exports,F,Fuels and mining products,2007,"4,387,608,919",4388
Slovenia,Exports,F,Fuels and mining products,2007,"2,117,369,447",2117
Solomon Islands,Exports,F,Fuels and mining products,2007,"85,888",0
South Africa,Exports,F,Fuels and mining products,2007,"25,541,152,811",25541
Spain,Exports,F,Fuels and mining products,2007,"21,855,683,424",21856
Sri Lanka,Exports,F,Fuels and mining products,2007,"163,207,186",163
Sudan,Exports,F,Fuels and mining products,2007,"7,600,000,000",7600
Suriname,Exports,F,Fuels and mining products,2007,"63,514,365",64
Swaziland,Exports,F,Fuels and mining products,2007,"20,042,689",20
Sweden,Exports,F,Fuels and mining products,2007,"15,839,501,637",15840
Switzerland,Exports,F,Fuels and mining products,2007,"10,101,848,406",10102
Syrian Arab Republic,Exports,F,Fuels and mining products,2007,"4,881,137,954",4881
Tanzania,Exports,F,Fuels and mining products,2007,"265,081,897",265
Thailand,Exports,F,Fuels and mining products,2007,"9,575,518,240",9576
Togo,Exports,F,Fuels and mining products,2007,"35,843,326",36
Tonga,Exports,F,Fuels and mining products,2007,"116,353",0
Trinidad and Tobago,Exports,F,Fuels and mining products,2007,"9,230,550,981",9231
Tunisia,Exports,F,Fuels and mining products,2007,"2,663,761,812",2664
Turkey,Exports,F,Fuels and mining products,2007,"8,868,019,878",8868
Uganda,Exports,F,Fuels and mining products,2007,"72,933,336",73
Ukraine,Exports,F,Fuels and mining products,2007,"5,789,236,881",5789
United Arab Emirates,Exports,F,Fuels and mining products,2007,"81,776,105,458",81776
United Kingdom,Exports,F,Fuels and mining products,2007,"65,050,683,687",65051
United States,Exports,F,Fuels and mining products,2007,"84,464,933,000",84465
Uruguay,Exports,F,Fuels and mining products,2007,"230,526,122",231
Vanuatu,Exports,F,Fuels and mining products,2007,"139,021",0
Venezuela,Exports,F,Fuels and mining products,2007,"64,265,536,410",64266
Viet Nam,Exports,F,Fuels and mining products,2007,"10,435,575,308",10436
World,Exports,F,Fuels and mining products,2007,"2,670,560,795,700",2670561
Yemen,Exports,F,Fuels and mining products,2007,"5,715,750,708",5716
Zambia,Exports,F,Fuels and mining products,2007,"3,608,072,479",3608
Zimbabwe,Exports,F,Fuels and mining products,2007,"672,585,765",673
Albania,Exports,M,Manufactures,2007,"754,291,179",754
Algeria,Exports,M,Manufactures,2007,"566,171,788",566
Angola,Exports,M,Manufactures,2007,"454,447,178",454
